Subject Code,Shot Number,Shot Type (2) / (3),Miss (0) /Made (1),Position,Height,Body Mass,Peak Braking Force,Peak Braking Power,Peak Propulsive Force,Peak Propulsive Power,Left Leg / Peak Propulsive Force,Right Leg / Peak Propulsive Force,Jump Height,Braking Duration,Propulsive Duration,Displacement Depth,Force at Min Displacement
1,1,2,0,Point guard,180,76.56,1310,525,1814,2429,1036,796,8.6,0.274,0.228,17.2,1310
1,2,2,1,,,,1755,1305,1816,1292,1021,798,9.0,0.423,0.161,116.8,1755
1,3,2,1,,,,1525,584,1910,2466,1034,904,8.7,0.268,0.208,17.4,1525
1,4,2,1,,,,1404,588,1878,2473,1006,887,9.0,0.275,0.216,17.1,1404
1,5,2,1,,,,856,57,1825,3553,981,863,8.1,2.430,0.360,50.0,856
1,6,2,1,,,,1424,650,1776,2425,959,838,8.9,0.275,0.227,18.2,1424
1,7,2,1,,,,1534,648,1787,2219,958,840,7.9,0.255,0.215,44.5,1534
1,8,2,0,,,,1499,579,1890,2341,1017,881,7.8,0.231,0.215,17.5,1499
1,9,2,1,,,,1499,590,1844,2408,1005,848,8.4,0.269,0.219,19.6,1499
1,10,2,0,,,,1405,607,1851,2468,1021,842,9.7,0.271,0.220,18.9,1405
1,1,3,0,,,,1478,623,1962,2975,1075,903,12.6,0.271,0.223,21.0,1478
1,2,3,0,,,,1650,748,1982,2988,1030,984,13.6,0.252,0.210,21.5,1650
1,3,3,0,,,,1534,738,1883,2807,981,933,14.7,0.282,0.220,23.8,1534
1,4,3,1,,,,1538,798,1879,2791,1022,874,13.3,0.286,0.224,25.8,1538
1,5,3,1,,,,1562,695,1890,3027,1028,880,13.9,0.280,0.229,19.6,1562
1,6,3,0,,,,1615,796,1913,2859,1015,930,14.4,0.274,0.220,23.8,1615
1,7,3,1,,,,1577,764,1937,2890,1042,898,14.4,0.230,0.224,25.1,1577
1,8,3,1,,,,1531,688,1927,2740,1038,933,12.5,0.292,0.215,26.5,1531
1,9,3,1,,,,1469,796,1917,2913,1061,865,14.1,0.248,0.226,23.0,1469
1,10,3,1,,,,1682,796,1959,2738,1018,956,14.0,0.274,0.211,25.4,1682
2,1,2,1,Shooting Guard,187,68.88,1095,327,1136,1209,609,572,1.9,0.274,0.344,21.1,1095
2,2,2,1,,,,1230,362,1239,1207,650,626,2.9,0.209,0.334,19.2,1230
2,3,2,1,,,,1179,282,1213,1443,651,610,3.4,0.201,0.348,9.3,1179
2,4,2,0,,,,1201,388,1232,1504,687,682,6.1,0.255,0.320,21.9,1201
2,5,2,1,,,,1052,165,1221,1712,697,693,3.8,2.680,0.372,1.0,1052
2,6,2,1,,,,1185,984,1099,544,678,666,2.7,0.401,0.233,128.5,1099
2,7,2,1,,,,1112,180,1169,1530,649,595,3.6,1.947,0.373,0.5,1112
2,8,2,1,,,,1068,292,1141,1392,717,571,3.7,0.208,0.362,12.3,1068
2,9,2,1,,,,1157,304,1223,1459,627,610,4.0,0.235,0.352,10.1,1157
2,10,2,0,,,,1105,278,1150,1375,656,568,4.4,0.244,0.353,14.5,1105
2,1,3,0,,,,1207,346,1591,3480,822,770,22.0,0.226,0.290,5.5,1207
2,2,3,0,,,,1444,541,1629,3351,832,797,23.0,0.259,0.258,20.0,1444
2,3,3,0,,,,1295,579,1678,3101,856,825,22.4,0.273,0.257,34.1,1295
2,4,3,1,,,,873,45,1653,4645,816,839,23.5,2.305,0.364,65.2,873
2,5,3,1,,,,1354,573,1653,3388,803,852,26.2,0.292,0.265,25.4,1354
2,6,3,0,,,,1371,773,1692,3234,833,859,27.1,0.284,0.244,59.8,1365
2,7,3,1,,,,1361,510,1640,3413,796,847,24.6,0.282,0.267,21.9,1361
2,8,3,1,,,,1246,424,1532,3251,796,739,21.6,0.231,0.297,5.8,1246
2,9,3,1,,,,1332,529,1586,3260,794,793,22.9,0.232,0.273,22.9,1332
2,10,3,1,,,,1292,445,1596,3398,793,804,21.7,0.293,0.293,12.9,1292
3,1,2,0,Shooting Guard,191,88.33,1719,624,2170,2975,1178,993,12.1,0.273,0.220,16.9,1719
3,2,2,1,,,,1719,624,2170,2975,1178,993,12.1,0.273,0.220,16.9,1719
3,3,2,1,,,,2025,779,2322,3375,1300,1023,15.9,0.179,0.206,17.7,2025
3,4,2,1,,,,1914,826,2203,3383,1171,1032,16.6,0.329,0.221,20.8,1914
3,5,2,1,,,,1911,741,2255,3435,1207,1049,16.8,0.198,0.212,19.1,1911
3,6,2,1,,,,2006,786,2308,3505,1258,1055,16.4,0.239,0.216,18.3,2006
3,7,2,1,,,,2000,935,2236,3470,1178,1061,17.1,0.232,0.222,23.2,2000
3,8,2,0,,,,2073,816,2323,3601,1190,1143,16.5,0.206,0.214,17.6,2073
3,9,2,1,,,,2153,1086,2326,3540,1187,1142,17.7,0.231,0.207,20.3,2153
